Commodity,Month,Year,Price (USD/ton)
Wheat,January,2020,210
Wheat,February,2020,215
Wheat,March,2020,220
Wheat,April,2020,225
Wheat,May,2020,230
Wheat,June,2020,235
Wheat,July,2020,240
Wheat,August,2020,245
Wheat,September,2020,250
Wheat,October,2020,255
Wheat,November,2020,260
Wheat,December,2020,265
Rice,January,2020,320
Rice,February,2020,325
Rice,March,2020,330
Rice,April,2020,335
Rice,May,2020,340
Rice,June,2020,345
Rice,July,2020,350
Rice,August,2020,355
Rice,September,2020,360
Rice,October,2020,365
Rice,November,2020,370
Rice,December,2020,375
Corn,January,2020,180
Corn,February,2020,185
Corn,March,2020,190
Corn,April,2020,195
Corn,May,2020,200
Corn,June,2020,205
Corn,July,2020,210
Corn,August,2020,215
Corn,September,2020,220
Corn,October,2020,225
Corn,November,2020,230
Corn,December,2020,235
